category,filename,comment,size,depart,district,commune,canton,yyyy,path
Revenus_csv,revcommunes,rev,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Revenus_csv/Revenus_csv/revcommunes.csv
Revenus_csv,pibcommunes,pib,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Revenus_csv/Revenus_csv/pibcommunes.csv
Capital_immobilier_csv,capitalimmobilierdepartements,capitalimmobilier,0,1,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/capitalimmobilierdepartements.csv
Capital_immobilier_csv,capitalimmobilier,capitalimmobilier,0,0,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/capitalimmobilier.csv
Capital_immobilier_csv,terrescommunes,terres,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/terrescommunes.csv
Capital_immobilier_csv,basesfiscalescommunes,basesfiscales,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/basesfiscalescommunes.csv
Capital_immobilier_csv,isfcommunes,isf,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/isfcommunes.csv
Capital_immobilier_csv,capitalimmobiliercommunes,capitalimmobilier,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/capitalimmobiliercommunes.csv
Capital_immobilier_csv,basesfiscalesdepartements,basesfiscales,0,1,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Capital_immobilier_csv/Capital_immobilier_csv/basesfiscalesdepartements.csv
HCP,menagescommunes,menages,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Age_csp/menagescommunes.csv
HCP,menagesdepartements,menages,0,1,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Age_csp/menagesdepartements.csv
HCP,agesexcommunes,agesex,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Age_csp/agesexcommunes.csv
HCP,agesexdepartements,agesex,0,1,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Age_csp/agesexdepartements.csv
CSP_csv,rsacommunes,rsa,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/CSP_csv/CSP_csv/rsacommunes.csv
CSP_csv,crimesdelitscommunes,crimesdelits,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/CSP_csv/CSP_csv/crimesdelitscommunes.csv
CSP_csv,emploicommunes,emploi,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/CSP_csv/CSP_csv/emploicommunes.csv
CSP_csv,empfoncommunes,empfon,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/CSP_csv/CSP_csv/empfoncommunes.csv
CSP_csv,cspcommunes,csp,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/CSP_csv/CSP_csv/cspcommunes.csv
Nationalites_csv,etrangerscommunes,etrangers,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Nationalites_csv/Nationalites_csv/etrangerscommunes.csv
Nationalites_csv,natidepartements,nati,0,1,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Nationalites_csv/Nationalites_csv/natidepartements.csv
Nationalites_csv,naticommunes,nati,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Nationalites_csv/Nationalites_csv/naticommunes.csv
Proprietaires_csv,proprietairescommunes,proprietaires,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Proprietaires_csv/Proprietaires_csv/proprietairescommunes.csv
