key;dep;nomdep;codecommune;nomcommune
01167;01;AIN;01167;GARNERANS
01169;01;AIN;01169;GENOUILLEUX
01170;01;AIN;01170;BEARD-GÉOVREISSIAT
01171;01;AIN;01171;GÉOVREISSET
01173;01;AIN;01173;GEX
01174;01;AIN;01174;GIRON
01175;01;AIN;01175;GORREVOD
01177;01;AIN;01177;GRAND-CORENT
01179;01;AIN;01179;GRIÈGES
01180;01;AIN;01180;GRILLY
01181;01;AIN;01181;GROISSIAT
01183;01;AIN;01183;GUÉREINS
01184;01;AIN;01184;HAUTECOURT-ROMANÈCHE
01185;01;AIN;01185;PLATEAU D'HAUTEVILLE
01187;01;AIN;01187;HAUT VALROMEY
01188;01;AIN;01188;ILLIAT
01189;01;AIN;01189;INJOUX-GÉNISSIAT
01190;01;AIN;01190;INNIMOND
01191;01;AIN;01191;IZENAVE
01192;01;AIN;01192;IZERNORE
01193;01;AIN;01193;IZIEU
01194;01;AIN;01194;JASSANS-RIOTTIER
01195;01;AIN;01195;JASSERON
01196;01;AIN;01196;JAYAT
01197;01;AIN;01197;JOURNANS
01198;01;AIN;01198;JOYEUX
01199;01;AIN;01199;JUJURIEUX
01200;01;AIN;01200;LABALME
01202;01;AIN;01202;LAGNIEU
01203;01;AIN;01203;LAIZ
01204;01;AIN;01204;LE POIZAT-LALLEYRIAT
01206;01;AIN;01206;LANTENAY
01207;01;AIN;01207;LAPEYROUSE
01208;01;AIN;01208;LAVOURS
01209;01;AIN;01209;LÉAZ
01210;01;AIN;01210;LÉLEX
01211;01;AIN;01211;LENT
01212;01;AIN;01212;LESCHEROUX
01213;01;AIN;01213;LEYMENT
01214;01;AIN;01214;LEYSSARD
01215;01;AIN;01215;SURJOUX-LHOPITAL
01216;01;AIN;01216;LHUIS
01219;01;AIN;01219;LOMPNAS
01224;01;AIN;01224;LOYETTES
01225;01;AIN;01225;LURCY
01227;01;AIN;01227;MAGNIEU
01228;01;AIN;01228;MAILLAT
01229;01;AIN;01229;MALAFRETAZ
01230;01;AIN;01230;MANTENAY-MONTLIN
01231;01;AIN;01231;MANZIAT
01232;01;AIN;01232;MARBOZ
01233;01;AIN;01233;MARCHAMP
01234;01;AIN;01234;MARIGNIEU
01235;01;AIN;01235;MARLIEUX
01236;01;AIN;01236;MARSONNAS
01237;01;AIN;01237;MARTIGNAT
01238;01;AIN;01238;MASSIEUX
01239;01;AIN;01239;MASSIGNIEU-DE-RIVES
01240;01;AIN;01240;MATAFELON-GRANGES
01241;01;AIN;01241;MEILLONNAS
01242;01;AIN;01242;MÉRIGNAT
01243;01;AIN;01243;MESSIMY-SUR-SAÔNE
01244;01;AIN;01244;MEXIMIEUX
01245;01;AIN;01245;BOHAS-MEYRIAT-RIGNAT
01246;01;AIN;01246;MÉZÉRIAT
01247;01;AIN;01247;MIJOUX
01248;01;AIN;01248;MIONNAY
01249;01;AIN;01249;MIRIBEL
01250;01;AIN;01250;MISÉRIEUX
01252;01;AIN;01252;MOGNENEINS
01254;01;AIN;01254;MONTAGNAT
01255;01;AIN;01255;MONTAGNIEU
01257;01;AIN;01257;MONTANGES
01258;01;AIN;01258;MONTCEAUX
01259;01;AIN;01259;MONTCET
01260;01;AIN;01260;LE MONTELLIER
01261;01;AIN;01261;MONTHIEUX
01262;01;AIN;01262;MONTLUEL
01263;01;AIN;01263;MONTMERLE-SUR-SAÔNE
01264;01;AIN;01264;MONTRACOL
01265;01;AIN;01265;MONTRÉAL-LA-CLUSE
01266;01;AIN;01266;MONTREVEL-EN-BRESSE
01267;01;AIN;01267;NURIEUX-VOLOGNAT
01268;01;AIN;01268;MURS-ET-GÉLIGNIEUX
01269;01;AIN;01269;NANTUA
01272;01;AIN;01272;NEUVILLE-LES-DAMES
01273;01;AIN;01273;NEUVILLE-SUR-AIN
01274;01;AIN;01274;LES NEYROLLES
01275;01;AIN;01275;NEYRON
01276;01;AIN;01276;NIÉVROZ
01277;01;AIN;01277;NIVOLLET-MONTGRIFFON
01279;01;AIN;01279;ONCIEU
01280;01;AIN;01280;ORDONNAZ
01281;01;AIN;01281;ORNEX
01282;01;AIN;01282;OUTRIAZ
01283;01;AIN;01283;OYONNAX
01284;01;AIN;01284;OZAN
01285;01;AIN;01285;PARCIEUX
01286;01;AIN;01286;PARVES ET NATTAGES
01288;01;AIN;01288;PÉRON
01289;01;AIN;01289;PÉRONNAS
01290;01;AIN;01290;PÉROUGES
01291;01;AIN;01291;PERREX
01293;01;AIN;01293;PEYRIAT
01294;01;AIN;01294;PEYRIEU
01295;01;AIN;01295;PEYZIEUX-SUR-SAÔNE
01296;01;AIN;01296;PIRAJOUX
01297;01;AIN;01297;PIZAY
01298;01;AIN;01298;PLAGNE
01299;01;AIN;01299;LE PLANTAY
01301;01;AIN;01301;POLLIAT
01302;01;AIN;01302;POLLIEU
01303;01;AIN;01303;PONCIN
01304;01;AIN;01304;PONT-D'AIN
01305;01;AIN;01305;PONT-DE-VAUX
01306;01;AIN;01306;PONT-DE-VEYLE
01307;01;AIN;01307;PORT
01308;01;AIN;01308;POUGNY
01309;01;AIN;01309;POUILLAT
