codecommune;dep;nomcommune;nomdep;REV_revmoyfoy1992;REV_revmoyfoy2002;REV_revmoyfoy2012;REV_revmoyfoy2022;DBL_bug
01081;01;CHAMPFROMIER;AIN;40990.49672820282;30596.803;35231.273;67973.602;0
01082;01;CHANAY;AIN;23819.16276773062;27683.063;32609.072;34756.609;0
01083;01;CHANEINS;AIN;24700.72608724805;29110.793;34886.59;37919.293;0
01084;01;CHANOZ-CHATENAY;AIN;21393.92179790435;27262.563;33105.566;33754.785;0
01085;01;CHAPELLE-DU-CHATELARD;AIN;22602.93189172972;29678.066;37778.016;37093.402;0
01087;01;CHARIX;AIN;28899.76789584693;27321.395;31738.365;35422.984;0
01088;01;CHARNOZ-SUR-AIN;AIN;30861.30907118344;39342.566;44914.77;46668.953;0
01089;01;CHATEAU-GAILLARD;AIN;26057.29129509521;29603.045;33426.004;34044.355;0
01090;01;CHATENAY;AIN;26575.30392942703;30977.232;36957.145;36450.367;0
01092;01;CHATILLON-LA-PALUD;AIN;27834.85949848114;29607.049;35041.453;38148.223;0
01093;01;CHATILLON-/-CHALARONNE;AIN;25627.49778212535;30417.951;28757.418;30334.813;0
01094;01;CHAVANNES-SUR-REYSSOUZE;AIN;20025.74054916611;23423.793;28791.996;30901.004;0
01095;01;CHAVANNES-SUR-SURAN;AIN;22330.42585136606;25570.621;28874.973;28608.307;0
01096;01;CHAVEYRIAT.;AIN;22527.89854651438;27390.143;32007.438;32414.273;0
01098;01;CHAZEY-BONS;AIN;25294.71390794854;28718.305;30864.52;30893.92;0
01099;01;CHAZEY-SUR-AIN;AIN;27642.09600909948;30744.348;36302.48;37077.324;0
01100;01;CHEIGNIEU-LA-BALME;AIN;17534.5706986067;24737.471;28163.727;27221.805;0
01101;01;CHEVILLARD;AIN;20078.79760080373;24516.172;34577.977;35464.27;0
01102;01;CHEVROUX;AIN;20284.1189722298;23670.984;30464.65;33047.352;0
01103;01;CHEVRY;AIN;20151.94726371241;45050.742;62798.492;64390.176;0
01104;01;CHEZERY-FORENS;AIN;17546.50068654889;25030.65;38443.945;36538.156;0
01105;01;CIVRIEUX;AIN;35913.97291175093;37919.492;47104.926;44421.949;0
01106;01;CIZE;AIN;22301.85666971503;24358.84;26053.867;26685.631;0
01107;01;CLEYZIEU;AIN;;23550.352;30503.605;28777.258;0
01108;01;COLIGNY;AIN;22205.16097797309;22906.482;28105.104;28851.703;0
01109;01;COLLONGES;AIN;17254.2159819653;33213.641;48651.465;48914.113;0
01110;01;COLOMIEU;AIN;17601.44142049317;22135.395;30110.82;26170.494;0
01111;01;CONAND;AIN;19240.55897433951;23215.35;31029.664;26977.883;0
01112;01;CONDAMINE-LA-DOYE;AIN;27697.35069009487;28710.068;34116.719;36372.262;0
01113;01;CONDEISSIAT;AIN;22990.02860574859;29299.252;32841.008;33102.449;0
01114;01;CONFORT;AIN;21504.43115989514;24427.297;31962.652;36606.883;0
01115;01;CONFRANCON;AIN;20900.39703355912;26299.242;30255.609;31212.639;0
01116;01;CONTREVOZ;AIN;25733.9258324517;30735.949;35199.711;31572.207;0
01117;01;CONZIEU;AIN;17105.71902679017;21374.525;31980.391;32698.648;0
01118;01;CORBONOD;AIN;21365.66656330443;22154.785;30073.785;31710.498;0
01121;01;CORLIER;AIN;15833.60557569166;29618.203;26378.684;32682.953;0
01123;01;CORMORANCHE-SUR-SAONE;AIN;25347.14306548394;30263.555;34611.434;36047.734;0
01124;01;CORMOZ;AIN;17191.42657174325;21884.924;26984.393;30416.584;0
01125;01;CORVEISSIAT;AIN;23243.69782304563;36061.504;30361.447;30789.52;0
01127;01;COURMANGOUX;AIN;21713.20594888342;25875.893;33672.586;35033.578;0
01128;01;COURTES;AIN;20954.70987340118;40271.469;30243.051;29633.539;0
01129;01;CRANS;AIN;28600.57635613891;33480.141;35546.695;40669.223;0
01130;01;CRAS-SUR-REYSSOUZE;AIN;24832.58384871433;28321.807;32931.035;33718.398;0
01133;01;CRESSIN-ROCHEFORT;AIN;24637.30878292379;28979.086;33174.547;34050.0;0
01134;01;CROTTET;AIN;26686.12723846894;29204.988;33316.684;35335.02;0
01135;01;CROZET;AIN;20332.78076515189;45911.465;60745.461;60319.316;0
01136;01;CRUZILLES-LES-MEPILLAT;AIN;23721.83918188645;28147.354;34880.941;36080.18;0
01138;01;CULOZ;AIN;22883.28660837112;23505.922;27797.414;26298.822;0
01139;01;CURCIAT-DONGALON;AIN;17968.7594702921;19550.99;24862.623;25191.672;0
01140;01;CURTAFOND;AIN;23958.55525842354;28091.57;33280.988;34343.699;0
01141;01;CUZIEU;AIN;25002.42920336495;28955.455;35184.742;34818.371;0
01142;01;DAGNEUX;AIN;30609.20958914195;30932.986;34741.57;36932.879;0
01143;01;DIVONNE-LES-BAINS;AIN;29649.47345389808;46701.23;76547.672;77402.406;0
01145;01;DOMPIERRE-SUR-VEYLE;AIN;23279.48778687219;26223.842;33703.766;32353.602;0
01146;01;DOMPIERRE-SUR-CHALARONNE;AIN;26296.20500099007;28903.961;31061.328;35586.711;0
01147;01;DOMSURE;AIN;21051.71951219423;22686.879;24326.979;28463.686;0
01148;01;DORTAN;AIN;28932.41838916239;30339.385;32693.994;32471.592;0
01149;01;DOUVRES;AIN;31887.60198126267;35908.965;41564.875;44063.879;0
01150;01;DROM;AIN;22399.49420261031;26255.328;32341.555;39321.09;0
01151;01;DRUILLAT;AIN;25708.18217426067;27851.174;35216.152;35158.813;0
01152;01;ECHALLON;AIN;29570.98669112052;43870.73;38468.863;40737.551;0
01153;01;ECHENEVEX;AIN;28130.59762062695;54111.961;99202.258;83042.25;0
01155;01;EVOSGES;AIN;17779.44939847265;23549.727;28240.531;29725.922;0
01156;01;FARAMANS;AIN;28187.735983929;36147.785;39014.551;40229.379;0
01157;01;FAREINS;AIN;32619.09861034943;38798.258;41218.07;42410.625;0
01158;01;FARGES;AIN;17056.11539271476;40597.672;53491.484;53272.371;0
01159;01;FEILLENS;AIN;25171.64666391334;28579.908;33693.59;33536.047;0
01160;01;FERNEY-VOLTAIRE;AIN;22824.57850981352;33314.277;44253.398;44318.727;0
01162;01;FLAXIEU;AIN;;26541.693;27736.418;32540.523;0
01163;01;FOISSIAT;AIN;20018.20581993947;25706.549;29482.889;31317.145;0
01165;01;AMAREINS-FRANCHELEINS;AIN;30439.67818154245;32522.809;56146.77;37323.441;0
01166;01;FRANS;AIN;32198.72350891288;38693.32;39005.508;39563.129;0
01167;01;GARNERANS;AIN;27470.3669721422;30109.58;35748.246;36200.074;0
01169;01;GENOUILLEUX;AIN;24560.07780835068;29589.191;36124.168;39197.406;0
01170;01;BEARD-GEOVREISSIAT;AIN;34936.34179459379;37612.629;37575.113;36281.992;0
01171;01;GEOVREISSET;AIN;53118.89920669193;43052.957;40516.293;40134.188;0
01173;01;GEX;AIN;24376.41878345122;37019.781;51106.449;50510.695;0
01174;01;GIRON;AIN;22118.51159186669;27196.42;34282.105;39187.633;0
01175;01;GORREVOD;AIN;23164.26921911475;25309.516;28761.41;32550.023;0
01177;01;GRAND-CORENT;AIN;28451.13755981046;27103.768;31850.908;31172.238;0
01179;01;GRIEGES;AIN;25938.61930977555;30271.869;33892.223;34657.473;0
01180;01;GRILLY;AIN;25356.87542406836;49178.375;74726.039;82711.828;0
01181;01;GROISSIAT;AIN;44420.68220863283;39944.922;41186.523;39306.477;0
01183;01;GUEREINS;AIN;32164.50328034187;31154.875;35924.441;40108.637;0
01184;01;HAUTECOURT-ROMANECHE;AIN;21820.88978741422;27850.195;29417.551;31079.76;0
01185;01;HAUTEVILLE-LOMPNES;AIN;24002.82179263008;25075.859;26421.736;27522.98;0
01187;01;HOTONNES;AIN;21350.91105190225;24900.289;29608.418;31958.502;0
01188;01;ILLIAT;AIN;21842.86608099193;28995.152;34136.715;38327.039;0
01189;01;INJOUX-GENISSIAT;AIN;21549.95348230611;26395.793;36767.383;40510.465;0
01190;01;INNIMOND;AIN;15437.40439719059;18238.281;26743.408;27893.025;0
01191;01;IZENAVE;AIN;19542.26209045641;22901.016;27002.023;33061.012;0
01192;01;IZERNORE;AIN;31098.96698887386;32094.295;32157.334;33827.051;0
01193;01;IZIEU;AIN;26269.83344869681;24088.033;32729.174;29464.203;0
01194;01;JASSANS-RIOTTIER;AIN;26845.61234043291;29369.313;32171.043;32508.061;0
01195;01;JASSERON;AIN;37746.48184908116;33427.762;37898.117;40744.656;0
01196;01;JAYAT;AIN;21804.56454075648;24123.166;30969.93;32672.889;0
01197;01;JOURNANS;AIN;27974.25198917407;32066.068;39970.445;35310.961;0
01198;01;JOYEUX;AIN;29951.8044641172;43133.957;35575.52;36436.094;0
01199;01;JUJURIEUX;AIN;23322.18458582317;24509.662;28764.613;29129.973;0
01200;01;LABALME;AIN;21157.83361546948;21729.539;24414.186;27825.207;0
01202;01;LAGNIEU;AIN;26991.91166625026;27745.008;30292.229;32630.469;0
01203;01;LAIZ;AIN;25925.74748068004;29774.076;34654.156;34510.605;0
01204;01;LALLEYRIAT;AIN;24871.51328305199;29030.463;35355.223;33244.059;0
01206;01;LANTENAY;AIN;21910.36469698063;27641.346;34981.496;36261.66;0
01207;01;LAPEYROUSE;AIN;30035.31437971251;37303.828;41557.477;46113.211;0
01208;01;LAVOURS;AIN;19314.02258429929;22938.881;25558.615;28518.115;0
01209;01;LEAZ;AIN;18375.0069544287;32298.264;42361.102;46204.777;0
01210;01;LELEX;AIN;22054.78034049131;27037.146;28637.209;29228.225;0
01211;01;LENT;AIN;27346.9857810559;28139.047;34223.992;36365.078;0
01212;01;LESCHEROUX;AIN;18219.60316412915;21155.27;26337.123;27873.994;0
01213;01;LEYMENT;AIN;24856.1298775476;26599.027;33541.688;33846.586;0
01214;01;LEYSSARD;AIN;19346.98702466586;25615.701;27569.652;31324.938;0
01215;01;LHOPITAL;AIN;25725.13531502062;32732.248;36042.844;35349.566;0
01216;01;LHUIS;AIN;21064.59134128975;23353.023;28852.053;29979.33;0
01219;01;LOMPNAS;AIN;19972.9974445796;20167.889;25359.65;23746.244;0
01224;01;LOYETTES;AIN;25562.82468959665;25880.641;30864.203;32390.813;0
01225;01;LURCY;AIN;28373.90658523735;36030.855;44516.074;42925.332;0
01227;01;MAGNIEU;AIN;23780.86122749518;25632.404;30347.619;32643.182;0
01228;01;MAILLAT;AIN;26940.42434986819;32129.477;36948.75;38112.652;0
01229;01;MALAFRETAZ;AIN;25754.01844372276;28466.092;33167.441;32242.707;0
01230;01;MANTENAY-MONTLIN;AIN;15261.28010151777;20769.746;26914.088;25624.543;0
01231;01;MANZIAT;AIN;23235.84914676787;30424.07;34396.461;42128.406;0
01232;01;MARBOZ;AIN;23788.70990377293;26644.471;31318.891;33226.996;0
01233;01;MARCHAMP;AIN;14545.16687793541;20796.74;26531.174;29138.529;0
01234;01;MARIGNIEU;AIN;18745.15052768762;30464.51;31795.15;31889.063;0
01235;01;MARLIEUX;AIN;23459.06550010722;28869.729;30122.131;32769.73;0
01236;01;MARSONNAS;AIN;22838.07823301125;25451.324;30450.963;31774.957;0
01237;01;MARTIGNAT;AIN;47135.69630663381;38497.863;43313.766;38845.988;0
01238;01;MASSIEUX;AIN;38955.17799585542;39364.027;42576.871;44815.242;0
