key;pred_NUP;pred_ECO;pred_ENS;pred_LR_UDI;pred_EXTREMD;pred_CENTRE;pred_OTR
01001;0.17985841680000017;0.022155379786999992;0.1683079578200001;0.25233191869200017;0.2958549030969998;0.06700479512399996;0.01681080765500001
01002;0.30611096442999997;0.021809117939999997;0.09093985237999996;0.14461342658999995;0.16441248882199996;0.307964720486;0.03508991741200001
01004;0.2888029730999999;0.014894755751999998;0.09323792289999998;0.11302699146599991;0.2573962886500002;0.25420631480800027;0.026771647527999976
01005;0.18156269739999994;0.024570473054000015;0.1899932885799998;0.20078643026999973;0.3267286768329997;0.048197564199999966;0.016786007872999994
01007;0.24244581460000017;0.009778903274000002;0.08985073784999999;0.10449175303700006;0.2946991999700003;0.2851050853127004;0.012493558944899985
01008;0.2296524368999999;0.019769050087000025;0.20642591976999988;0.16775646679999995;0.29924654992999977;0.043504677473000034;0.025446384471000005
01009;0.27152161285;0.044051592284999976;0.2452760643400001;0.18820841377999994;0.18970191627499994;0.07657988206499995;0.028287157140000047
01010;0.2335149146000004;0.030172500335000015;0.20985439017999988;0.14331559875000008;0.2953117479450001;0.03666686072400004;0.022627711054999996
01011;0.23214343360000037;0.008574379400999999;0.060590278299999994;0.12471219269000017;0.2058743318913331;0.41054497296400005;0.009909394429
01012;0.31191201278000036;0.008144080862000002;0.06948895398;0.11161598227999994;0.19592940283000002;0.3100578380209998;0.023480889832500008
01014;0.19695329849999987;0.011525806516;0.07279693800999999;0.1617942938539999;0.23333770525799996;0.33887221117000016;0.04084112497799997
01015;0.2001955962;0.03283110730400002;0.23647282438000025;0.21068794281899983;0.20789972454100014;0.10127386349399986;0.021054680586000005
01016;0.19132272848000004;0.020988002764999996;0.17733431361999996;0.2652612163220001;0.3151239272700005;0.027505306027333313;0.014323220525999993
01017;0.2833889928299998;0.011432232106000004;0.06471141058999998;0.07002390398000001;0.3367534176829998;0.2831637233369998;0.016307401176999997
01021;0.1918024977000002;0.013632082461000006;0.22791938370000028;0.18185466591000016;0.2929604705599999;0.03666040170199997;0.014586087036400013
01022;0.20783693940000034;0.00920564547;0.04294318602;0.09178689448000009;0.29338772987600004;0.3280474467740002;0.02377831488600002
