key;pred_YYY_pvoixNUP;pred_YYY_pvoixECO;pred_YYY_pvoixENS;pred_YYY_pvoixLR_UDI;pred_YYY_pvoixEXTREMD;pred_YYY_pvoixCENTRE;pred_YYY_pvoixOTR
01001;0.17821445446600112;0.023035889600500077;0.17432452852199914;0.25546930180466676;0.29147823388060295;0.06434958588289943;0.01632749075627001
01002;0.31870069594600026;0.020174162524500026;0.0954286836280001;0.16110303663159983;0.16990555959530015;0.33048293845000426;0.0331454626845
01004;0.29376908279999986;0.0108394454542;0.08232949477700002;0.10933668833930078;0.25191203090799597;0.2415656705737017;0.025543411252540206
01005;0.17812928598699906;0.02353028131500015;0.1935612607929988;0.20283082214120124;0.3202447053975998;0.047014600048117035;0.015106489271106634
01007;0.24334119956000133;0.008754596419500011;0.09020463006099996;0.1101340111943993;0.2952159978655969;0.259478266576962;0.011939845277599982
01008;0.23177357619799888;0.019142466869899948;0.2076305691900005;0.1675330954199995;0.3076629263045314;0.039907573825184485;0.021860375219150047
01009;0.26635028159100305;0.04450109232109976;0.24345862017600195;0.1814124337813982;0.19446067858306829;0.07102280800249909;0.02467752265342473
01010;0.23144068240099672;0.027147860569100173;0.20536311393200268;0.15142278373650025;0.2950027323581994;0.04010703418840009;0.019772815518666612
01011;0.24331875876599696;0.007237071688499996;0.08105306450300001;0.13318864541516542;0.21868839792833195;0.3753432921601779;0.011071378738059995
01012;0.306341643676999;0.010636503657300003;0.06330460203499999;0.11890563030419878;0.19663181612820074;0.3263980819325825;0.02550460935483325
01014;0.2000278853220018;0.010275181441799992;0.08463287117799997;0.15820495433099874;0.23028615902559765;0.34786726905256254;0.04118240149921018
01015;0.21075527262200075;0.029559688945699825;0.23552709742200115;0.19582202977599986;0.20673456108250024;0.07236897336434969;0.02057726219096649
01016;0.20829565460300087;0.02001028163030022;0.17708862596299824;0.2645102249940662;0.32014695988209824;0.02936581751665363;0.01363663419839991
01017;0.27481255796900234;0.0092879840209;0.06401498752800001;0.05690750293690006;0.32986078534310126;0.28573295863845943;0.015451813632500047
01021;0.19106871333699857;0.015900352557999937;0.2322580524930029;0.18142882564030147;0.30332142379760235;0.04121592837570684;0.015294984599862789
01022;0.21395877315099876;0.008955498605999998;0.059495677365000006;0.09131520297679878;0.29337060633209827;0.3028157773156229;0.02180946448135991
01024;0.1977529474199975;0.02770664148000038;0.21016167625100082;0.24952323210559882;0.28760461598400083;0.023744971156599824;0.012695991312399893
01025;0.1801896419690011;0.033972113623999614;0.19502098053799954;0.23566371546429749;0.30116812814669897;0.0548150465310605;0.01645442747185984
01026;0.18159107541200112;0.02823290795449982;0.19752121263799935;0.24455190371800117;0.2563108373135792;0.0732282718093992;0.019398763868866516
01027;0.19117040900000165;0.021891228705300317;0.258968793941004;0.16466063176120052;0.3080319714762006;0.05448323465172353;0.02267059115433972
01028;0.15522643784100107;0.020945758790699896;0.16581714109499898;0.25473018360270405;0.3333482278565962;0.0619163564267998;0.015821158430166522
01029;0.21029908307500073;0.019155828990533467;0.17161709723000157;0.2856315570908996;0.295837211357748;0.054041884315166454;0.007969221925
01030;0.2303461581660011;0.0213516503916002;0.19933453304100113;0.18287267099709925;0.29344750162659716;0.06679231892869993;0.02024509133548334
01031;0.2106137864999981;0.008174129131399996;0.06954248473700002;0.14945633323419832;0.2652644793814001;0.3236578846813673;0.039373475562999936
01032;0.23308755902999864;0.01978445887580002;0.2268768423479981;0.1321824593235994;0.3021088242892963;0.03444096595956032;0.020559892259479802
01033;0.2649938688150011;0.04177929646330015;0.22724084496199748;0.15975838766679967;0.2501592285761964;0.026674673734400373;0.03248786017642969
01034;0.23907650364999777;0.03147215336209995;0.22033163453800192;0.20369439403430178;0.2300803882547989;0.05015562314300041;0.021344799562329833
